PROJECT ID,PROJECT DESCRIPTION,REPOSITORY URL,BT STATIC ID,BT DYNAMIC ID,PRODUCTION URL,PLAYGROUND URL
safety-alerts,Safety Alerts IT tool,https://github.com/ec-europa/safety_alerts-reference,82781,82780,https://webgate.ec.europa.eu/multisite/safetyalerts,https://webgate.ec.europa.eu/playground-multisite/safetyalerts
scicnet,SCICNET,https://github.com/ec-europa/scicnet-reference,82783,82782,https://webgate.ec.europa.eu/multisite/scicnet,https://webgate.ec.europa.eu/playground-multisite/scicnet
sealearning,Archived,https://github.com/ec-europa/sealearning-reference,82785,82784,https://webgate.ec.europa.eu/multisite/saelearning,https://webgate.ec.europa.eu/playground-multisite/saelearning
service-catalogue,DIGIT Service Catalogue,https://github.com/ec-europa/service-catalogue-reference,82787,82786,https://www.cc.cec/itservices,https://webgate.ec.europa.eu/playground-multisite/service-catalogue
sfc2014,System for Fund Management in the European Union,https://github.com/ec-europa/sfc2014-reference,82789,82788,https://ec.europa.eu/sfc,https://webgate.ec.europa.eu/playground-multisite/sfc2014
single-profile-server,Archived,https://github.com/ec-europa/single-profile-server-reference,82791,82790,https://webgate.ec.europa.eu/multisite/single-profile-server,https://webgate.ec.europa.eu/playground-multisite/single-profile-server
speech-repository,Speech Repository,https://github.com/ec-europa/speech-repository-reference,82793,82792,https://webgate.ec.europa.eu/sr,https://webgate.ec.europa.eu/playground-multisite/sr
sport,SPORT - Supporting fair play and cooperation in sport,https://github.com/ec-europa/sport-reference,82795,82794,https://ec.europa.eu/sport,https://webgate.ec.europa.eu/playground-multisite/sport
srb,Single Resolution Board,https://github.com/ec-europa/srb-reference,82797,82796,https://srb.europa.eu/,https://webgate.ec.europa.eu/playground-multisite/srbsite
stages,Traineeships,https://github.com/ec-europa/stages-reference,82799,82798,https://ec.europa.eu/stages,https://webgate.ec.europa.eu/playground-multisite/stages
stages2,Traineeships,https://github.com/ec-europa/stages2-reference,147517,147518,https://ec.europa.eu/stages,https://webgate.ec.europa.eu/playground-multisite/stages
taxedu,TAXEDU web-portal,https://github.com/ec-europa/taxedu-reference,82801,82800,https://webgate.ec.europa.eu/multisite/taxedu,https://webgate.ec.europa.eu/playground-multisite/taxedu
taxud,Taxation and Customs Union,https://github.com/ec-europa/taxud-reference,82803,82802,https://ec.europa.eu/taxation_customs,https://webgate.ec.europa.eu/playground-multisite/taxation
teachers-corner,Teachers' Corner,https://github.com/ec-europa/teachers-corner-reference,82805,82804,https://europa.eu/teachers-corner,https://webgate.ec.europa.eu/playground-multisite/teacherscorner
vocational-skills-week,European Vocational Skills Week,https://github.com/ec-europa/vocational-skills-week-reference,82807,82806,https://ec.europa.eu/social/vocational-skills-week,https://webgate.ec.europa.eu/playground-multisite/
workforyou,Archived,https://github.com/ec-europa/workforyou-reference,82809,82808,https://webgate.ec.europa.eu/multisite/workforyou/,https://webgate.ec.europa.eu/playground-multisite/workforyou
youthwiki,Youth Wiki,https://github.com/ec-europa/youthwiki-reference,82811,82810,https://eacea.ec.europa.eu/national-policies,https://webgate.ec.europa.eu/playground-multisite/youthwiki
youth,YOUTH - Supporting youth actions in Europe,https://github.com/ec-europa/youth-reference,82813,82812,https://ec.europa.eu/youth,https://webgate.ec.europa.eu/playground-multisite/youth
